Recourse_Method,Dataset,ML_Model,L0_distance,L1_distance,L2_distance,Linf_distance,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
dice,german,linear,1.0,0.12135439814285714,0.014726889948615091,0.12135439814285714,1.0,0.0,,,
dice,german,linear,2.0,1.0372356186950589,1.0013864912996038,1.0,1.0,1.0,,,
dice,german,linear,2.0,1.014707889167602,1.0002163220037663,1.0,1.0,1.0,,,
dice,german,linear,2.0,1.0643201105714286,1.0041370766239208,1.0,2.0,0.0,,,
dice,german,linear,2.0,1.085179792857143,1.0072555971111858,1.0,2.0,1.0,,,
dice,german,linear,2.0,1.3142360067142858,1.0987442679157406,1.0,2.0,1.0,,,
dice,german,linear,2.0,1.0870726708238143,1.0075816500043924,1.0,1.0,0.0,,,
dice,german,linear,2.0,0.9608978491092436,0.686075926167931,0.8154217502857143,1.0,1.0,,,
dice,german,linear,2.0,1.3003348179065701,1.0902010028469724,1.0,1.0,0.0,,,
dice,german,linear,2.0,1.5109662401428572,1.261086498565728,1.0,2.0,0.0,,,
dice,german,linear,2.0,1.137227253525256,1.0188313191100848,1.0,1.0,1.0,,,
dice,german,linear,2.0,1.5361068418571429,1.2874105458860396,1.0,2.0,0.0,,,
dice,german,linear,1.0,0.6413250472837021,0.4112978162734426,0.6413250472837021,0.0,0.0,,,
dice,german,linear,2.0,1.6459373642857145,1.4172350785803758,1.0,2.0,0.0,,,
dice,german,linear,1.0,0.25917502117647057,0.06717169160182397,0.25917502117647057,0.0,0.0,,,
dice,mortgage,linear,1.0,0.052483961957407024,0.002754566262746548,0.052483961957407024,0.0,0.0,0.52,1.0,0.10529171
dice,mortgage,linear,2.0,0.5693250486349266,0.16373754852717376,0.3135765609224844,0.0,0.0,,,
dice,mortgage,linear,2.0,1.0327287283478708,0.5433554430856644,0.5873965044632414,0.0,0.0,,,
dice,mortgage,linear,2.0,0.2952595731936933,0.06718154963829942,0.25624019552950483,0.0,1.0,,,
dice,mortgage,linear,2.0,1.043080184321249,0.54646885627233,0.5566165857888697,0.0,0.0,,,
dice,mortgage,linear,2.0,0.8506620038975049,0.3622147181117401,0.4395048453633077,0.0,0.0,,,
dice,mortgage,linear,1.0,0.07842273285563903,0.006150125028546925,0.07842273285563903,0.0,0.0,,,
dice,mortgage,linear,2.0,0.9850501131556628,0.4864061590614908,0.5174679548406499,0.0,0.0,,,
dice,mortgage,linear,2.0,0.6362231657041629,0.2024767647672545,0.3246996963127441,0.0,0.0,,,
dice,mortgage,linear,2.0,0.8369160969981452,0.3503802371016195,0.4275673951912105,0.0,0.0,,,
dice,mortgage,linear,2.0,0.4202193785808206,0.09253544284750877,0.2561709516487264,0.0,1.0,,,
dice,mortgage,linear,2.0,0.6905150203375396,0.2392363899279002,0.36564001825810666,0.0,0.0,,,
dice,mortgage,linear,2.0,1.0792078886363043,0.5871651948072085,0.5886975353448516,0.0,0.0,,,
dice,mortgage,linear,2.0,0.9928947133143342,0.4937659662056568,0.5170144461678375,0.0,0.0,,,
dice,mortgage,linear,2.0,0.7469534010441045,0.2837347245100855,0.4222877281920784,0.0,0.0,,,
dice,mortgage,linear,1.0,0.3070445719869496,0.09427636918664907,0.3070445719869496,0.0,0.0,,,
dice,mortgage,linear,1.0,0.2422638546038044,0.058691775247493264,0.2422638546038044,0.0,0.0,,,
dice,mortgage,linear,1.0,0.15749298895639802,0.0248040415704201,0.15749298895639802,0.0,0.0,,,
dice,mortgage,linear,1.0,0.28173688951534553,0.07937567491378203,0.28173688951534553,0.0,0.0,,,
dice,mortgage,linear,2.0,0.9593825151140648,0.4607965750617824,0.49685473489246396,0.0,0.0,,,
dice,twomoon,linear,2.0,0.8492424448777164,0.4050595204733576,0.5737070289101938,0.0,1.0,0.94,1.0,0.09787156000000012
dice,twomoon,linear,2.0,0.9541395679238563,0.5415042312116455,0.6848112984368686,0.0,1.0,,,
dice,twomoon,linear,1.0,0.38528106463699097,0.1484414987678132,0.38528106463699097,0.0,0.0,,,
dice,twomoon,linear,2.0,0.4420855402753484,0.14616662134104394,0.3766814685400487,0.0,1.0,,,
dice,twomoon,linear,1.0,0.21662408189573126,0.04692599285716851,0.21662408189573126,0.0,0.0,,,
dice,twomoon,linear,2.0,1.127691849048087,0.685336138868897,0.7211540388477337,0.0,0.0,,,
dice,twomoon,linear,2.0,0.5583508254205054,0.31078727763365466,0.5574823076210461,0.0,1.0,,,
dice,twomoon,linear,1.0,0.426254640334355,0.18169301840657034,0.426254640334355,0.0,0.0,,,
dice,twomoon,linear,2.0,0.7747454391458783,0.5432778318804814,0.7360578096913808,0.0,1.0,,,
dice,twomoon,linear,2.0,0.8139113076475408,0.3854272578376529,0.5715786313806535,0.0,1.0,,,
dice,twomoon,linear,2.0,0.8558719918753239,0.4377000158409237,0.616935443823901,0.0,2.0,,,
dice,twomoon,linear,1.0,0.4390980938926538,0.1928071360601618,0.4390980938926538,0.0,0.0,,,
dice,twomoon,linear,1.0,0.5290436781130867,0.2798872133514233,0.5290436781130867,0.0,0.0,,,
dice,twomoon,linear,1.0,0.7710491378091953,0.5945167729163033,0.7710491378091953,0.0,0.0,,,
dice,twomoon,linear,2.0,0.6316739130284292,0.3244604194459426,0.5657914056100637,0.0,1.0,,,
dice,twomoon,linear,1.0,0.4485926811654991,0.20123539359525114,0.4485926811654991,0.0,0.0,,,
dice,twomoon,linear,1.0,0.6819192526718522,0.4650138671645374,0.6819192526718522,0.0,0.0,,,
dice,twomoon,linear,1.0,0.33583409535093955,0.11278453960018395,0.33583409535093955,0.0,0.0,,,
dice,twomoon,linear,2.0,0.8011605872551244,0.3554860053518132,0.5320277395257713,0.0,1.0,,,
dice,twomoon,linear,2.0,0.5451729959005365,0.2438310200265041,0.4907884941566744,0.0,1.0,,,
dice,breast_cancer,linear,2.0,1.0367610704569674,0.5812865571722927,0.6664511240784545,0.0,0.0,0.06999999999999995,1.0,0.242607755
dice,breast_cancer,linear,11.0,4.8578889291811524,3.1737976160546486,0.9,0.0,7.0,,,
dice,breast_cancer,linear,2.0,0.4872315767364392,0.16704426105858747,0.3990940125252525,0.0,1.0,,,
dice,breast_cancer,linear,2.0,0.6458739454876314,0.30529446349885586,0.5428436424573284,0.0,1.0,,,
