Recourse_Method,Dataset,ML_Model,L0_distance,L1_distance,L2_distance,Linf_distance,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
dice,boston_housing,linear,2.0,1.217250544323646,0.7663021146396083,0.7214363328152492,0.0,0.0,,,
dice,boston_housing,linear,2.0,1.353628311523679,0.9229558264866548,0.7351280632258064,0.0,1.0,,,
dice,boston_housing,linear,2.0,1.5467342829764736,1.197146700887112,0.7951986533431085,0.0,0.0,,,
cchvae,adult,linear,6.0,2.105456134988008,2.006208415970587,1.0,0.0,5.0,0.75,1.0,0.1206972499999999
cchvae,adult,linear,5.0,1.1406405972830038,1.0087506228865049,1.0,0.0,4.0,,,
cchvae,adult,linear,5.0,1.115740876599237,1.0049099960838337,1.0,0.0,4.0,,,
cchvae,adult,linear,6.0,2.0586919522229707,2.001019749964669,1.0,0.0,4.0,,,
cchvae,adult,linear,5.0,1.0425612643719049,1.0005584577104285,1.0,0.0,4.0,,,
cchvae,adult,linear,8.0,4.3730464046466215,4.080315018802225,1.0,0.0,5.0,,,
cchvae,adult,linear,5.0,1.119087257566957,1.0060786688345993,1.0,0.0,4.0,,,
cchvae,adult,linear,5.0,1.1971512266542432,1.0116555083118512,1.0,0.0,4.0,,,
cchvae,adult,linear,6.0,2.314082635173789,2.032434809383141,1.0,0.0,3.0,,,
cchvae,adult,linear,5.0,1.1726457024506312,1.0122196628779054,1.0,0.0,4.0,,,
cchvae,adult,linear,4.0,0.2238094559357483,0.0232601938385669,0.141464252252968,0.0,2.0,,,
cchvae,adult,linear,5.0,1.1110946182121562,1.003811594760572,1.0,0.0,4.0,,,
cchvae,adult,linear,6.0,2.198772429674864,2.0217300626020704,1.0,0.0,5.0,,,
cchvae,adult,linear,5.0,1.047441018094011,1.0006307701855182,1.0,0.0,4.0,,,
cchvae,adult,linear,5.0,1.5181990778339758,1.143161044140915,1.0,0.0,4.0,,,
cchvae,adult,linear,7.0,3.189902008601188,3.014022486003653,1.0,0.0,4.0,,,
cchvae,adult,linear,6.0,2.35020090298233,2.053300782567935,1.0,0.0,5.0,,,
cchvae,adult,linear,6.0,2.2021164589161724,2.0186768999434794,1.0,0.0,4.0,,,
cchvae,adult,linear,5.0,1.1102083470368265,1.0042372318402015,1.0,0.0,4.0,,,
cchvae,adult,linear,5.0,1.6840545074469515,1.2406503565530895,1.0,0.0,4.0,,,
cchvae,compass,linear,,,,,,,,0.0,5.75939595
cchvae,credit,linear,12.0,4.931125114723626,4.087619806339083,1.0,0.0,12.0,0.92,1.0,0.0685831000000007
cchvae,credit,linear,10.0,1.6301066365706502,1.16033303518294,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.7114290957536324,1.1179104465637957,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.5317060868973242,1.0919167805397754,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,2.215011605719176,1.4237833077387043,1.0,0.0,10.0,,,
cchvae,credit,linear,11.0,3.1498613931414914,2.397841307535739,1.0,0.0,9.0,,,
cchvae,credit,linear,10.0,1.808084144680068,1.3029314707127482,1.0,0.0,9.0,,,
cchvae,credit,linear,9.0,0.3358545707370628,0.0485867148747046,0.175266628464063,0.0,7.0,,,
cchvae,credit,linear,10.0,2.2325201308371607,1.4649958049134304,1.0,0.0,10.0,,,
